ano,bairro,roubo_bicicleta,furto_bicicleta,total_crimes
2021,ABOLIÇÃO,0,9,9
2021,ACARI,0,2,2
2021,ALTO DA BOA VISTA,1,62,63
2021,ANCHIETA,0,1,1
2021,ANDARAÍ,1,28,29
2021,ANIL,3,33,36
2021,BANCÁRIOS,0,10,10
2021,BANGU,1,23,24
2021,BARRA DA TIJUCA,4,59,63
2021,BARRA DE GUARATIBA,4,84,88
2021,BARROS FILHO,0,2,2
2021,BENFICA,0,8,8
2021,BENTO RIBEIRO,1,6,7
2021,BONSUCESSO,0,8,8
2021,BOTAFOGO,33,99,132
2021,BRÁS DE PINA,0,6,6
2021,CACHAMBI,2,7,9
2021,CACUIA,0,10,10
2021,CAJU,3,5,8
2021,CAMORIM,4,84,88
2021,CAMPINHO,1,6,7
2021,CAMPO DOS AFONSOS,0,20,20
2021,CAMPO GRANDE,2,6,8
2021,CASCADURA,1,5,6
2021,CATETE,41,96,137
2021,CATUMBI,0,15,15
2021,CAVALCANTI,1,5,6
2021,CENTRO,19,222,241
2021,CIDADE DE DEUS,3,33,36
2021,CIDADE NOVA,0,15,15
2021,CIDADE UNIVERSITÁRIA,0,10,10
2021,COCOTÁ,0,10,10
2021,COELHO NETO,1,3,4
2021,COLÉGIO,1,11,12
2021,COPACABANA,26,211,237
2021,CORDOVIL,0,1,1
2021,COSME VELHO,41,96,137
2021,COSMOS,2,6,8
2021,COSTA BARROS,0,2,2
2021,CURICICA,3,33,36
2021,DEL CASTILHO,0,0,0
2021,DEODORO,0,20,20
2021,ENCANTADO,0,9,9
2021,ENGENHEIRO LEAL,1,5,6
2021,ENGENHO DA RAINHA,0,0,0
2021,ENGENHO DE DENTRO,0,14,14
2021,ENGENHO NOVO,1,6,7
2021,ESTÁCIO,0,15,15
2021,FLAMENGO,41,96,137
2021,FREGUESIA (JACAREPAGUÁ),1,10,11
2021,GALEÃO,0,10,10
2021,GAMBOA,0,8,8
2021,GARDÊNIA AZUL,3,33,36
2021,GERICINÓ,1,23,24
2021,GLÓRIA,41,96,137
2021,GRAJAÚ,1,28,29
2021,GRUMARI,4,84,88
2021,GUADALUPE,0,1,1
2021,GUARATIBA,0,2,2
2021,GÁVEA,8,19,27
2021,HIGIENÓPOLIS,0,8,8
2021,HONÓRIO GURGEL,1,3,4
2021,HUMAITÁ,33,99,132
2021,INHAÚMA,0,0,0
2021,INHOAÍBA,2,6,8
2021,IPANEMA,6,203,209
2021,IRAJÁ,0,8,8
2021,ITANHANGÁ,4,59,63
2021,JACAREPAGUÁ,3,33,36
2021,JACAREZINHO,1,6,7
2021,JACARÉ,1,15,16
2021,JARDIM AMÉRICA,0,1,1
2021,JARDIM BOTÂNICO,8,19,27
2021,JARDIM CARIOCA,0,10,10
2021,JARDIM GUANABARA,0,10,10
2021,JARDIM SULACAP,0,20,20
2021,JOÁ,4,59,63
2021,LAGOA,8,19,27
2021,LAPA,13,50,63
2021,LARANJEIRAS,41,96,137
2021,LEBLON,6,203,209
2021,LEME,17,137,154
2021,LINS DE VASCONCELOS,0,5,5
2021,MADUREIRA,1,5,6
2021,MAGALHÃES BASTOS,0,20,20
2021,MANGUEIRA,3,5,8
2021,MANGUINHOS,0,8,8
2021,MARACANÃ,4,21,25
2021,MARECHAL HERMES,1,6,7
2021,MARIA DA GRAÇA,0,0,0
2021,MARÉ,0,8,8
2021,MONERÓ,0,10,10
2021,MÉIER,2,7,9
2021,OLARIA,0,5,5
2021,PACIÊNCIA,0,7,7
2021,PADRE MIGUEL,1,23,24
2021,PAQUETÁ,13,50,63
2021,PARQUE ANCHIETA,0,1,1
2021,PARQUE COLÚMBIA,0,2,2
2021,PAVUNA,0,2,2
2021,PECHINCHA,1,10,11
2021,PEDRA DE GUARATIBA,0,2,2
2021,PENHA,0,5,5
2021,PENHA CIRCULAR,0,5,5
2021,PIEDADE,0,9,9
2021,PILARES,0,9,9
2021,PITANGUEIRAS,0,10,10
2021,PORTUGUESA,0,10,10
2021,PRAIA DA BANDEIRA,0,10,10
2021,PRAÇA DA BANDEIRA,4,21,25
2021,PRAÇA SECA,0,4,4
2021,QUINTINO BOCAIÚVA,1,5,6
2021,RAMOS,0,8,8
2021,REALENGO,0,20,20
2021,RECREIO DOS BANDEIRANTES,4,84,88
2021,RIACHUELO,1,6,7
2021,RIBEIRA,0,10,10
2021,RICARDO DE ALBUQUERQUE,0,1,1
2021,RIO COMPRIDO,0,15,15
2021,ROCHA,1,6,7
2021,ROCHA MIRANDA,1,3,4
2021,ROCINHA,0,0,0
2021,SAMPAIO,1,6,7
2021,SANTA CRUZ,0,16,16
2021,SANTA TERESA,2,2,4
2021,SANTO CRISTO,0,8,8
2021,SANTÍSSIMO,2,6,8
2021,SAÚDE,0,8,8
2021,SENADOR CAMARÁ,1,23,24
2021,SENADOR VASCONCELOS,2,6,8
2021,SEPETIBA,0,2,2
2021,SÃO CONRADO,8,19,27
2021,SÃO FRANCISCO XAVIER,1,6,7
2021,TANQUE,1,14,15
2021,TAQUARA,3,33,36
2021,TAUÁ,0,10,10
2021,TIJUCA,5,83,88
2021,TODOS OS SANTOS,2,12,14
2021,TOMÁS COELHO,0,0,0
2021,URCA,33,99,132
2021,VARGEM GRANDE,4,84,88
2021,VARGEM PEQUENA,4,84,88
2021,VASCO DA GAMA,3,5,8
2021,VAZ LOBO,1,5,6
2021,VICENTE DE CARVALHO,0,8,8
2021,VIDIGAL,8,19,27
2021,VIGÁRIO GERAL,0,1,1
2021,VILA DA PENHA,0,8,8
2021,VILA ISABEL,1,28,29
2021,VILA KOSMOS,0,8,8
2021,VILA MILITAR,0,20,20
2021,VILA VALQUEIRE,0,4,4
2021,VISTA ALEGRE,0,8,8
2021,ZUMBI,0,10,10
2021,ÁGUA SANTA,0,14,14
2022,ABOLIÇÃO,5,7,12
2022,ACARI,2,6,8
2022,ALTO DA BOA VISTA,0,69,69
2022,ANCHIETA,0,6,6
2022,ANDARAÍ,2,53,55
2022,ANIL,2,38,40
2022,BANCÁRIOS,1,11,12
2022,BANGU,1,22,23
2022,BARRA DA TIJUCA,3,94,97
2022,BARRA DE GUARATIBA,3,117,120
2022,BARROS FILHO,2,6,8
2022,BENFICA,2,5,7
2022,BENTO RIBEIRO,0,3,3
2022,BONSUCESSO,2,5,7
2022,BOTAFOGO,12,202,214
2022,BRÁS DE PINA,1,8,9
2022,CACHAMBI,1,9,10
2022,CACUIA,1,11,12
2022,CAJU,2,7,9
2022,CAMORIM,3,117,120
2022,CAMPINHO,0,3,3
2022,CAMPO DOS AFONSOS,5,38,43
