fid,ext,tipo_infra,fluxo_infr,inicio,contabilizar,vias,area_plane,local_infr,final,SHAPE__Length,rp,status,cod_rp,score_infra,cluster_seguranca,score_seguranca_final,safety_score_refinado,safety_score_final_v2
1,0.99870939,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Avenida Padre Guilherme Decaminada (Em frente ao Assaí Atacadista),Sim,Rodovia Governador Mário Covas,5,No bordo direito da pista,Avenida Padre Guilherme Decaminada (altura da Estrada dos Palmares),998.538921217433,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
2,0.33312757,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Estrada Visconde de Sinimbu,Sim,Rua General Alexandre Barreto,5,No bordo direito da pista,Número 179,333.073321640808,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
3,0.55429949,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Em torno da Praça Guilherme da Silveira,Sim,Praça Guilherme da Silveira,5,Na calçada,Em torno da Praça Guilherme da Silveira,554.249451699825,BANGU,IMPLANTADA,5.1,4,2,2.5,2.5,2.0
4,2.04292644,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 212,Sim,Estrada de Inhoaíba,5,No bordo esquerdo da pista,Estrada do Campinho,2042.63300811661,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
5,1.62667175,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Estrada dos Palmares,Sim,Estrada do Cortume,5,No bordo direito da pista,Número 1462,1626.39350031477,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
6,0.71150118,CICLOVIA,BIDIRECIONAL,Rua do Prado,Sim,Avenida João XXIII,5,Não identificado,Número 192,711.375118512273,SANTA CRUZ,IMPLANTADA,5.3,1,2,2.5,2.0,1.6
7,0.14725585,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Próximo à Praça Ruão,Sim,Rua Medeiros e Albuquerque,5,No bordo direito da pista,Rua Senador Camará,147.230108412462,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
8,0.27645248,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Praça Taquarana,Sim,Avenida Ladário,5,Na calçada,Beco da Ladário,276.412470619717,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,2.5,2.0
9,0.58997168,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 5611,Sim,Estrada do Mato Alto,5,Na calçada,Número 7250,589.887139733922,GUARATIBA,IMPLANTADA,5.4,4,2,2.5,2.5,2.0
10,0.66944119,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 710,Sim,Praia do Cardo,5,Na calçada,Número 950,669.322998372717,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,2.5,2.0
11,1.65242384,CICLOVIA,BIDIRECIONAL,Número 106,Sim,Avenida Nelson Moura Brazil do Amaral,5,Na calçada,Número 1286,1652.14449153861,GUARATIBA,IMPLANTADA,5.4,1,2,2.5,2.5,2.0
12,0.32092169,CICLOVIA,UNIDIRECIONAL,Número 2050,Sim,Rua Francisco Real,5,Não identificado,Número 1720,320.891767682158,BANGU,IMPLANTADA,5.1,1,0,6.0,5.5,4.4
