logradouro,acidente,atropelamento,homicidio_culposo,lesao_corporal,total_delitos
AVENIDA AMARO CAVALCANTI,19,0,0,20,39
AVENIDA AREIA BRANCA,14,0,0,14,28
AVENIDA ARMANDO LOMBARDI,15,0,0,18,33
AVENIDA ATLANTICA,17,10,0,25,52
AVENIDA AYRTON SENNA,61,14,12,63,150
AVENIDA AYRTON SENNA - PISTA CENTRAL,10,0,0,10,20
AVENIDA BORGES DE MEDEIROS,19,0,0,22,41
AVENIDA BRAS DE PINA,32,0,0,34,66
AVENIDA BRASIL,532,76,63,552,1223
AVENIDA BRIGADEIRO TROMPOWSKI,26,0,0,27,53
AVENIDA CESARIO DE MELO,88,12,13,87,200
AVENIDA CHRISOSTOMO PIMENTEL DE OLIVEIRA,0,0,0,11,11
AVENIDA DAS AMERICAS,212,35,19,236,502
AVENIDA DAS NACOES UNIDAS,12,0,0,13,25
AVENIDA DE SANTA CRUZ,85,13,0,91,189
AVENIDA DOM HELDER CAMARA,104,20,0,123,247
AVENIDA DOM JOAO VI,30,0,0,34,64
AVENIDA DOS DEMOCRATICOS,10,0,0,14,24
AVENIDA DOS ITALIANOS,29,0,0,34,63
AVENIDA EMBAIXADOR ABELARDO BUENO,11,0,0,11,22
AVENIDA EPITACIO PESSOA,14,0,0,16,30
AVENIDA ERNANI CARDOSO,17,0,0,19,36
AVENIDA FRANCISCO BICALHO,38,0,0,40,78
AVENIDA GENERAL JUSTO,12,0,0,13,25
AVENIDA GEREMARIO DANTAS,32,0,0,34,66
AVENIDA GOVERNADOR CARLOS LACERDA,36,0,0,37,73
AVENIDA INFANTE DOM HENRIQUE,0,14,0,18,32
AVENIDA ITAOCA,22,0,0,22,44
AVENIDA JOAO RIBEIRO,18,0,0,20,38
AVENIDA LAURO SODRE,12,0,0,12,24
AVENIDA LOBO JUNIOR,19,0,0,17,36
AVENIDA LUCIO COSTA,44,0,0,50,94
AVENIDA MARACANA,20,0,0,19,39
AVENIDA MARECHAL FONTINELI,24,0,0,27,51
AVENIDA MARECHAL RONDON,19,0,0,20,39
AVENIDA MERITI,21,0,0,22,43
AVENIDA MINISTRO EDGARD ROMERO,34,0,0,35,69
AVENIDA MONSENHOR FELIX,26,0,0,28,54
AVENIDA NACOES UNIDAS,14,0,0,15,29
AVENIDA NAZARE,13,0,0,12,25
AVENIDA NIEMEYER,10,0,0,13,23
AVENIDA NOSSA SENHORA DE COPACABANA,29,0,0,30,59
AVENIDA PADRE GUILHERME DECAMINADA,17,0,0,17,34
AVENIDA PASTEUR,0,0,0,10,10
AVENIDA PASTOR MARTIN LUTHER KING JR,16,0,0,18,34
AVENIDA PASTOR MARTIN LUTHER KING JR.,108,14,10,113,245
AVENIDA PAULO DE FRONTIN,20,0,0,20,40
AVENIDA PRESIDENTE CASTELO BRANCO,20,0,0,20,40
AVENIDA PRESIDENTE VARGAS,50,18,0,63,131
AVENIDA RODRIGUES ALVES,0,0,0,10,10
AVENIDA SALVADOR ALLENDE,31,0,0,29,60
AVENIDA SALVADOR DE SA,11,0,0,11,22
AVENIDA TENENTE CORONEL MUNIZ DE ARAGAO,12,0,0,12,24
AVENIDA TRINTA E UM DE MARCO,15,0,0,15,30
AVENIDA VICENTE DE CARVALHO,26,0,0,28,54
AVENIDA VIEIRA SOUTO,12,0,0,12,24
ESTRADA ADHEMAR BEBIANO,42,0,0,41,83
ESTRADA CHRISOSTOMO PIMENTEL DE OLIVEIRA,18,0,0,20,38
ESTRADA DA AGUA BRANCA,37,0,0,42,79
ESTRADA DA BARRA DA TIJUCA,11,0,0,12,23
ESTRADA DA CACHAMORRA,20,0,0,22,42
ESTRADA DA GAVEA,21,0,0,22,43
ESTRADA DA ILHA,17,0,0,17,34
ESTRADA DA MATRIZ,21,0,0,22,43
ESTRADA DA PACIENCIA,0,0,0,10,10
ESTRADA DA PEDRA,35,0,0,39,74
ESTRADA DA POSSE,27,0,0,26,53
ESTRADA DE JACAREPAGUA,37,0,0,39,76
