Ano;Logradouro;Delito;Total
2021;Avenida Amaro Cavalcanti;Acidente de trânsito;19
2021;Avenida Amaro Cavalcanti;Lesão corporal culposa - trânsito;20
2021;Avenida Areia Branca;Acidente de trânsito;14
2021;Avenida Areia Branca;Lesão corporal culposa - trânsito;14
2021;Avenida Armando Lombardi;Acidente de trânsito;15
2021;Avenida Armando Lombardi;Lesão corporal culposa - trânsito;18
2021;Avenida Atlantica;Acidente de trânsito;17
2021;Avenida Atlantica;Atropelamento;10
2021;Avenida Atlantica;Lesão corporal culposa - trânsito;25
2021;Avenida Ayrton Senna;Acidente de trânsito;61
2021;Avenida Ayrton Senna;Atropelamento;14
2021;Avenida Ayrton Senna;Homicídio culposo - trânsito;12
2021;Avenida Ayrton Senna;Lesão corporal culposa - trânsito;63
2021;Avenida Ayrton Senna - Pista Central;Acidente de trânsito;10
2021;Avenida Ayrton Senna - Pista Central;Lesão corporal culposa - trânsito;10
2021;Avenida Borges De Medeiros;Acidente de trânsito;19
2021;Avenida Borges De Medeiros;Lesão corporal culposa - trânsito;22
2021;Avenida Bras De Pina;Acidente de trânsito;32
2021;Avenida Bras De Pina;Lesão corporal culposa - trânsito;34
2021;Avenida Brasil;Acidente de trânsito;532
2021;Avenida Brasil;Atropelamento;76
2021;Avenida Brasil;Conduzir veículo embriagado ou sob efeito de drogas;14
2021;Avenida Brasil;Falta de habilitação;14
2021;Avenida Brasil;Homicídio culposo - trânsito;63
2021;Avenida Brasil;Lesão corporal culposa - trânsito;552
2021;Avenida Brigadeiro Trompowski;Acidente de trânsito;26
2021;Avenida Brigadeiro Trompowski;Lesão corporal culposa - trânsito;27
2021;Avenida Cesario De Melo;Acidente de trânsito;88
2021;Avenida Cesario De Melo;Atropelamento;12
2021;Avenida Cesario De Melo;Homicídio culposo - trânsito;13
2021;Avenida Cesario De Melo;Lesão corporal culposa - trânsito;87
2021;Avenida Chrisostomo Pimentel De Oliveira;Lesão corporal culposa - trânsito;11
2021;Avenida Das Americas;Acidente de trânsito;212
2021;Avenida Das Americas;Atropelamento;35
2021;Avenida Das Americas;Homicídio culposo - trânsito;19
2021;Avenida Das Americas;Lesão corporal culposa - trânsito;236
2021;Avenida Das Nacoes Unidas;Acidente de trânsito;12
2021;Avenida Das Nacoes Unidas;Lesão corporal culposa - trânsito;13
2021;Avenida De Santa Cruz;Acidente de trânsito;85
2021;Avenida De Santa Cruz;Atropelamento;13
2021;Avenida De Santa Cruz;Lesão corporal culposa - trânsito;91
2021;Avenida Dom Helder Camara;Acidente de trânsito;104
2021;Avenida Dom Helder Camara;Atropelamento;20
