logradouro,bairro,hierarquia,velocidade_maxima,peso_h,peso_v
AVENIDA CARLOS LACERDA,ABOLIÇÃO,Estrutural,100,5,"3,0"
AVENIDA DOM HELDER CAMARA,ABOLIÇÃO,Arterial primária,60,4,"2,0"
BECO DO LOPES,ABOLIÇÃO,Local,20,1,"1,0"
RUA AFONSO FERREIRA,ABOLIÇÃO,Local,30,1,"1,0"
RUA ALMEIDA BASTOS,ABOLIÇÃO,Local,30,1,"1,0"
RUA BASÍLIO DA GAMA,ABOLIÇÃO,Local,30,1,"1,0"
RUA BRÁULIO MUNIZ,ABOLIÇÃO,Local,30,1,"1,0"
RUA CANTILDA MACIEL,ABOLIÇÃO,Local,30,1,"1,0"
RUA CARLOS DE OLIVEIRA,ABOLIÇÃO,Local,30,1,"1,0"
RUA DA ABOLIÇÃO,ABOLIÇÃO,Coletora,40,2,"1,2"
RUA ENGENHEIRO NAZARETH,ABOLIÇÃO,Coletora,40,2,"1,2"
RUA FERREIRA LEITE,ABOLIÇÃO,Local,30,1,"1,0"
RUA FIGUEIREDO PIMENTEL,ABOLIÇÃO,Local,30,1,"1,0"
RUA GLAZIOU,ABOLIÇÃO,Coletora,30,2,"1,0"
RUA GUILHERMINA,ABOLIÇÃO,Coletora,40,2,"1,2"
RUA LUIS SILVA,ABOLIÇÃO,Local,30,1,"1,0"
RUA MACEDO BRAGA,ABOLIÇÃO,Local,30,1,"1,0"
RUA MARIO CARPENTER,ABOLIÇÃO,Coletora,40,2,"1,2"
RUA MORAIS MACEDO,ABOLIÇÃO,Local,30,1,"1,0"
RUA MOREIRA,ABOLIÇÃO,Coletora,40,2,"1,2"
RUA PAQUEQUER,ABOLIÇÃO,Local,30,1,"1,0"
RUA SILVA XAVIER,ABOLIÇÃO,Local,30,1,"1,0"
RUA TEIXEIRA DE AZEVEDO,ABOLIÇÃO,Coletora,40,2,"1,2"
TRAVESSA COARI,ABOLIÇÃO,Local,30,1,"1,0"
TRAVESSA CORDEIRO,ABOLIÇÃO,Local,30,1,"1,0"
TRAVESSA FLECHEIRAS,ABOLIÇÃO,Local,20,1,"1,0"
TRAVESSA GOMES DA SILVA,ABOLIÇÃO,Local,30,1,"1,0"
TRAVESSA MARIETA REIS,ABOLIÇÃO,Local,30,1,"1,0"
TRAVESSA MARTA DA ROCHA,ABOLIÇÃO,Local,30,1,"1,0"
TRAVESSA SANTA MARTINHA,ABOLIÇÃO,Local,30,1,"1,0"
TRAVESSA VIRGINIA,ABOLIÇÃO,Local,30,1,"1,0"
AVENIDA BRASIL,ACARI,Estrutural,80,5,"3,0"
AVENIDA PASTOR MARTIN LUTHER KING JR.,ACARI,Arterial secundária,50,3,"1,5"
BECO DEMOCRATA,ACARI,Local,20,1,"1,0"
BECO MENENECO,ACARI,Local,20,1,"1,0"
BECO TIÃO,ACARI,Local,20,1,"1,0"
ESTRADA DO PORTINHO,ACARI,Local,30,1,"1,0"
ESTRADA ENGENHEIRO EDGARD SOUTELLO,ACARI,Local,30,1,"1,0"
ESTRADA RIO D´OURO,ACARI,Coletora,40,2,"1,2"
RUA ACURUI,ACARI,Local,30,1,"1,0"
RUA ASSIS,ACARI,Local,20,1,"1,0"
