fid,ext,tipo_infra,apenas_ano,fluxo_infr,inicio,contabilizar,data_implant,vias,area_plane,local_infr,executor,final,SHAPE__Length,rp,status,cod_rp
1,0.99870939,Faixa compartilhada na calçada,,Bidirecional,Avenida Padre Guilherme Decaminada (Em frente ao Assaí Atacadista),Sim,,Rodovia Governador Mário Covas,5,No bordo direito da pista,,Avenida Padre Guilherme Decaminada (altura da Estrada dos Palmares),998.538921217433,Santa Cruz,Implantada,5.3
2,0.33312757,Faixa compartilhada na calçada,,Bidirecional,Estrada Visconde de Sinimbu,Sim,,Rua General Alexandre Barreto,5,No bordo direito da pista,,Número 179,333.073321640808,Santa Cruz,Implantada,5.3
3,0.55429949,Faixa compartilhada na calçada,,Bidirecional,Em torno da Praça Guilherme da Silveira,Sim,,Praça Guilherme da Silveira,5,Na calçada,,Em torno da Praça Guilherme da Silveira,554.249451699825,Bangu,Implantada,5.1
4,2.04292644,Faixa compartilhada na calçada,,Bidirecional,Número 212,Sim,,Estrada de Inhoaíba,5,No bordo esquerdo da pista,,Estrada do Campinho,2042.63300811661,Campo Grande,Implantada,5.2
5,1.62667175,Faixa compartilhada na calçada,,Bidirecional,Estrada dos Palmares,Sim,,Estrada do Cortume,5,No bordo direito da pista,,Número 1462,1626.39350031477,Santa Cruz,Implantada,5.3
6,0.71150118,Ciclovia,,Bidirecional,Rua do Prado,Sim,,Avenida João XXIII,5,Não identificado,,Número 192,711.375118512273,Santa Cruz,Implantada,5.3
7,0.14725585,Faixa compartilhada na calçada,,Bidirecional,Próximo à Praça Ruão,Sim,,Rua Medeiros e Albuquerque,5,No bordo direito da pista,,Rua Senador Camará,147.230108412462,Santa Cruz,Implantada,5.3
8,0.27645248,Faixa compartilhada na calçada,,Bidirecional,Praça Taquarana,Sim,,Avenida Ladário,5,Na calçada,,Beco da Ladário,276.412470619717,Campo Grande,Implantada,5.2
9,0.58997168,Faixa compartilhada na calçada,,Bidirecional,Número 5611,Sim,,Estrada do Mato Alto,5,Na calçada,,Número 7250,589.887139733922,Guaratiba,Implantada,5.4
10,0.66944119,Faixa compartilhada na calçada,,Bidirecional,Número 710,Sim,,Praia do Cardo,5,Na calçada,,Número 950,669.322998372717,Santa Cruz,Implantada,5.3
11,1.65242384,Ciclovia,,Bidirecional,Número 106,Sim,,Avenida Nelson Moura Brazil do Amaral,5,Na calçada,,Número 1286,1652.14449153861,Guaratiba,Implantada,5.4
12,0.32092169,Ciclovia,,"Unidirecional, no fluxo dos automóveis",Número 2050,Sim,,Rua Francisco Real,5,Não identificado,,Número 1720,320.891767682158,Bangu,Implantada,5.1
13,0.38147037,Faixa compartilhada na calçada,,Não identificado,Número 375,Sim,,Estrada do Magarça,5,Na calçada,,Estrada do Monteiro,381.418252672953,Campo Grande,Implantada,5.2
14,1.4053382,Faixa compartilhada na calçada,,Bidirecional,Número 3375,Sim,,Rua Marechal Marciano,5,No canteiro central,,Rua General Gomes de Castro,1405.21112801481,Bangu,Implantada,5.1
15,0.34900331,Faixa compartilhada na calçada,,Bidirecional,Rua D,Sim,,Rua Santo Evaldo,5,No bordo direito da pista,,Número 300,348.972844414003,Bangu,Implantada,5.1
16,0.29937208,Faixa compartilhada na calçada,,Não identificado,Rua General Gomes de Castro,Sim,,Rua H. Lapi,5,Na calçada,,Rua Santo Evaldo,299.345918033313,Bangu,Implantada,5.1
17,0.07116842,Faixa compartilhada na calçada,,Bidirecional,Rua Marechal Marciano,Sim,,Rua General Gomes de Castro,5,No bordo direito da pista,,Rua Sérgio Cosme Pinheiro de Carvalho,71.1622076156874,Bangu,Implantada,5.1
18,1.26365551,Ciclovia,,"Unidirecional, no fluxo dos automóveis",Número 20,Sim,,Avenida Engenheiro Pires Rebelo,5,No bordo esquerdo da pista,,Número 1210,1263.53295045573,Bangu,Implantada,5.1
